Altura, Latitud, Longitud 
50000,1.5239234265172148e+56,1.5119453574822585e+56
49999,84.78873944243816,77.50687871309604
49998,84.7832947690784,77.49883374830704
49997,84.77797875362397,77.49082010217816
49996,84.77278357847125,77.48283587124641
49995,84.76770181691951,77.47487924766644
49994,84.76272641607873,77.4669485150085
49993,84.75785068045049,77.459042044223
49992,84.75306825615803,77.45115828976529
49991,84.74837311580107,77.44329578587518
49990,84.74375954391374,77.43545314300503
49989,84.73922212300339,77.42762904439135
49988,84.73475572014829,77.4198222427646
49987,84.73035547413527,77.41203155719208
49986,84.72601678311614,77.40425587004883
49985,84.72173529276446,77.39649412411208
49984,84.71750688491409,77.38874531977466
49983,84.71332766666166,77.38100851237253
49982,84.70919395991582,77.37328280962268
49981,84.70510229137622,77.36556736916665
49980,84.70104938292705,77.35786139621707
49979,84.6970321424286,77.35016414130091
49978,84.69304765489237,77.34247489809866
49977,84.6890931740259,77.3347930013735
49976,84.68516611413123,77.32711782498794
49975,84.68126404234711,77.31944878000522
49974,84.67738467121734,77.31178531287081
49973,84.67352585157762,77.30412690367217
49972,84.66968556574432,77.2964730644731
49971,84.66586192099695,77.28882333771999
49970,84.66205314334078,77.28117729471722
49969,84.65825757154005,77.27353453416872
49968,84.65447365141037,77.265894680784
49967,84.65069993036123,77.25825738394445
49966,84.64693505217753,77.25062231642953
49965,84.64317775203189,77.24298917319871
49964,84.63942685171851,77.23535767022875
49963,84.6356812550984,77.22772754340168
49962,84.6319399437502,77.22009854744456
49961,84.62820197281573,77.21247045491565
49960,84.62446646703405,77.20484305523827
49959,84.62073261695666,77.19721615377755
49958,84.61699967533467,77.18958957096078
49957,84.61326695367357,77.18196314143759
49956,84.60953381894677,77.1743367132804
49955,84.60579969046222,77.16671014722056
49954,84.60206403687624,77.15908331592244
49953,84.59832637334726,77.15145610329039
49952,84.5945862588252,77.1438284038098
49951,84.59084329346976,77.13620012191905
49950,84.58709711619281,77.12857117141209
49949,84.58334740231949,77.12094147487021
49948,84.5795938613628,77.11331096312144
